Product,Organic,Unit,Label,COO,Sales Order,Invoice #,Invoice Payment Status,Most Recent Invoice Paid Date,Sale Location,Sales Rep,Reqs. Date,Customer,Lot,Vendor,Source,Received Date,Use By Date,Pack Date,Lot Location,Quantity,Cost per Unit,Price per Unit,Total Cost,Total Sold Lot Expenses,Total Revenue,Total Profit $,Total Profit %
"Basil, Italian",false,10 Lb Carton,G115,,5123494,112719,Paid,2025-05-20,Mando's Trucking,Enrique Vazquez,04/18/2025,RATTO BROS INC,6399-BAS-1,#AGRPCS G115,PO #6399,04/22/2025,,,Mando's Trucking,50.00,30.00,35.00,1500.00,35.00,1750.00,215.00,12.29
"Basil, Italian",false,10 Lb Carton,G115,,5135507,112749,Paid,2025-05-29,Mando's Trucking,Enrique Vazquez,04/21/2025,RATTO BROS INC,6425-BAS-1,#ALAHAR G116,PO #6425,04/22/2025,,,Mando's Trucking,100.00,32.50,35.00,3250.00,70.00,3500.00,180.00,5.14
"Basil, Italian",false,10 Lb Carton,G115,,5159186,112779,Partially paid,2025-05-29,Mando's Trucking,Enrique Vazquez,04/25/2025,RATTO BROS INC,6474-BAS-1,#AGRPCS G115,PO #6474,,,,Mando's Trucking,100.00,30.00,35.00,3000.00,70.00,3500.00,430.00,12.29
"Basil, Italian",false,10 Lb Carton,G115,,5165013,112804,Paid,2025-05-29,Best Deal Brokerage,Enrique Vazquez,04/28/2025,RATTO BROS INC,6488-BAS-1,#AGRPCS G115,PO #6488,04/29/2025,,,Best Deal Brokerage,112.00,30.00,35.00,3360.00,70.00,3920.00,490.00,12.50
"Basil, Italian",false,10 Lb Carton,G115,,5188250,112833,Used,2025-04-21,Mando's Trucking,Enrique Vazquez,04/21/2025,RATTO BROS INC,6425-BAS-1,#ALAHAR G116,PO #6425,04/22/2025,,,Mando's Trucking,-55.00,32.50,35.00,-1787.50,-38.50,-1925.00,-99.00,-5.14
"Basil, Italian",false,10 Lb Carton,G115,,5195311,112847,Unpaid,,Mando's Trucking,Enrique Vazquez,05/05/2025,RATTO BROS INC,6564-BAS-1,#AGRPCS G115,PO #6564,05/09/2025,,,Mando's Trucking,56.00,22.50,28.00,1260.00,0.00,1568.00,308.00,19.64
"Basil, Italian",false,10 Lb Carton,G115,,5231995,112903,Unpaid,,Mando's Trucking,Enrique Vazquez,05/12/2025,RATTO BROS INC,6620-BAS-1,#AGRPCS G115,PO #6620,05/14/2025,,,Mando's Trucking,55.00,22.50,28.00,1237.50,0.00,1540.00,302.50,19.64
"Basil, Italian",false,10 Lb Carton,G115,,5269710,112955,Unpaid,,Mando's Trucking,Enrique Vazquez,05/27/2025,RATTO BROS INC,6714-BAS-1,#AGRPCS G115,PO #6714,05/27/2025,,,Mando's Trucking,56.00,20.00,28.00,1120.00,0.00,1568.00,448.00,28.57
"Basil, Italian",false,10 Lb Carton,G116,,4705863,112031,Paid,2025-03-18,Best Deal Brokerage,Emiliano Salcido,01/06/2025,RATTO BROS INC,5676-BAS-1,#ALAHAR G116,PO #5676,01/06/2025,,,Best Deal Brokerage,441.00,24.00,28.00,10584.00,312.03,12348.00,1451.97,11.76
"Basil, Italian",false,10 Lb Carton,G116,,4733344,112092,Paid,2025-03-18,Best Deal Brokerage,Alberto Tavares,01/13/2025,RATTO BROS INC,5727-BAS-1,#ALAHAR G116,PO #5727,01/13/2025,,,Best Deal Brokerage,441.00,24.00,28.00,10584.00,315.00,12348.00,1449.00,11.73
